,FNERTR/M1CXIAMA inst_corr,FNERTR/M1CXIAMA hist_corr
319,-0.029104889282172267,-0.16924358068254408
320,0.415267409799336,-0.06700976623033318
321,0.31852448803569317,-0.057894994726116734
322,-0.024135228847987737,-0.08573452747775301
323,-0.4196747902806299,-0.11860986062458183
324,-0.3311206498414816,-0.1323041856972113
325,-0.3290460715961253,-0.18966978892314823
326,-0.6179235217621144,-0.23476547853080817
327,-0.4944927888507767,-0.00542394407706818
328,-0.4126236198908754,-0.10151302289364324
329,-0.500650321767085,-0.13420386661604933
330,-0.059973932947257405,-0.1533231726423418
331,0.5626457024071446,-0.17830669452844977
332,0.9099282799268771,-0.18545708846295433
333,0.36714014216376184,-0.06925264613867167
334,0.34101147037283774,-0.009685776661333877
335,0.2782619550644105,0.0008328017719748307
336,-0.8088950736961739,0.010353180373263549
337,-0.5716013228153762,-0.021585726878225
338,-0.4458693113555782,-0.10661076765596389
339,-0.3743079377542189,-0.11082710545702146
340,-0.1958838222735883,-0.16543355927563874
341,-0.30325897133229646,-0.15895151223105364
342,-0.6704826268999295,-0.12807983626419114
343,-0.5001912529589732,-0.1769882248304955
344,-0.2355152265210132,-0.17428453043723782
345,-0.046200614369485464,-0.16890457102352216
346,-0.49992569055154285,-0.16441409793736841
347,-0.7895814501639106,-0.12788594547722534
348,-0.7172073600818148,-0.13886237941657342
349,-0.6131777343303363,-0.19192677618025217
350,-0.776875242511804,-0.21662698344648676
351,-0.5444182426850029,-0.2109348276250458
352,0.37549772528100417,-0.29347631528194973
353,0.6151587372144826,-0.1595364673523673
354,0.45657789920671643,-0.0726581042785466
355,0.4318171449338498,-0.11958954285110718
356,0.3096576792630706,-0.16398651411680382
357,0.37559129062157076,-0.10261751241827517
358,0.3709866259940381,-0.10803053895875449
359,0.5285515846196033,-0.0889164856617411
360,0.34077363628032986,-0.009011344905408619
361,0.14275733752550515,0.03174927195845565
362,-0.2738526255322971,0.10636357101524929
