,XNBI/VIX inst_corr,XNBI/VIX hist_corr
317,-0.9587496570641385,-0.30805533680375013
318,-0.9587496570641385,-0.33413236674770536
319,-0.9587496570641385,-0.31202224294030045
320,-0.9587496570641385,-0.29035800979460136
321,-0.9587496570641385,-0.3297432100547521
322,-0.9587496570641385,-0.2874417323183724
323,-0.9587496570641385,-0.29014819113314266
324,-0.9587496570641385,-0.23817958766737934
325,-0.9587496570641385,-0.3659902631151619
326,-0.8311923553349307,-0.5282224243695124
327,-0.5040017403114588,-0.517914032274767
328,-0.7874621128847324,-0.52200085871327
329,-0.5642090523685735,-0.5161423149495785
330,-0.5130918441567934,-0.6651481757462786
331,-0.682213006195895,-0.6423007213755141
332,-0.682213006195895,-0.6037620012146998
333,-0.7313107170396681,-0.6083464147330137
334,-0.8325033867761232,-0.6667353482005339
335,-0.9401770162128003,-0.6836260207135861
336,-0.878583847579489,-0.6779524335572934
337,-0.878583847579489,-0.6713542744287312
338,-0.878583847579489,-0.6791451280735318
339,-0.3142805474625139,-0.6710891035554577
340,-0.6311830398991081,-0.6348237534041153
341,-0.6311830398991081,-0.651096409790514
342,-0.6311830398991081,-0.6473769440241647
343,-0.79192596155589,-0.6045059831853574
344,-0.8810814377777499,-0.6341969897016234
345,-0.6777027506285542,-0.6522784862866027
346,-0.7621799364698871,-0.6582425954806108
347,-0.7621799364698871,-0.6521842870782839
348,-0.7621799364698871,-0.6312355998358358
349,-0.9009925364698119,-0.6311376786459871
350,-0.8688660421662383,-0.6664989368490015
351,-0.8688660421662383,-0.6674560123023562
352,-0.8688660421662383,-0.5991040618492354
353,-0.8363438518881023,-0.6210330489264405
354,-0.8363438518881023,-0.6742131338481337
355,-0.8946131555918521,-0.6821344454585274
356,-0.5381597441227007,-0.5833059034499977
357,-0.7520512288793978,-0.5731365927814488
358,-0.7532719733649783,-0.5856985550501949
359,-0.9608687767906138,-0.6197514814377473
