,LEGATRUU/FTMIGMI inst_corr,LEGATRUU/FTMIGMI hist_corr
330,-0.5074342852190104,-0.182698780239518
331,-0.5220370667164849,-0.14720712630249924
332,-0.10803440861222643,-0.2053497244050028
333,0.19077861933930834,-0.14850456434654974
334,0.5360390173979148,-0.12162171906609648
335,0.5613701392001125,-0.06348013145165392
336,0.45906624865127144,-0.028290155585878024
337,-0.5367947422601805,-0.1016709203627807
338,-0.5363178353833028,-0.22442560386918475
339,-0.10616520642637198,-0.22094155181381073
340,0.11481761746994873,-0.21502165150160424
341,-0.4068462312565112,-0.254123774202336
342,-0.691332873710607,-0.22841941751181197
343,-0.14323972130544474,-0.24513670019180342
344,0.04270360800784701,-0.294595532707996
345,0.06434964415117798,-0.15336050023853318
346,-0.38364665374815893,-0.22570028473040787
347,-0.7608329066487455,-0.36431086977027577
348,0.291217875037122,-0.4076038046977319
349,0.7437536827658681,-0.377505589901925
350,0.5103404607859084,-0.3402179107407243
351,0.324388596668184,-0.2866599861006603
352,0.6850141383494525,-0.050682907180030844
353,0.6850141383494525,-0.09607664977326416
354,0.6850141383494525,-0.06706664799751098
355,0.3850755452069009,-0.05094204951656178
356,0.43816386511697986,-0.005873833028451759
357,0.7287278670979096,-0.0629758924947397
358,0.6738055666048144,-0.0016278737337327423
359,0.383914192691235,0.014368805739452314
360,0.5375866457089229,0.10047775273116057
361,0.01068367978898781,0.09660360386172312
362,-0.28745911180411815,0.07178702944273041
363,-0.1078156672095091,0.16542166141258113
364,-0.157095333501362,0.13343467908620868
