,TYVIX/000001.SS inst_corr,TYVIX/000001.SS hist_corr
288,0.07537920024883493,-0.3611617182181858
289,-0.875584172499062,-0.36015019194497216
290,-0.875584172499062,-0.3868884036772673
291,-0.875584172499062,-0.3691898820926331
292,-0.875584172499062,-0.3699139721170281
293,-0.875584172499062,-0.3889143046095972
294,-0.7180975724115893,-0.34290311036277243
295,-0.9127527227560323,-0.3836182244325806
296,-0.8841784593998016,-0.31976334665071093
297,-0.8841784593998016,-0.31634183470447075
298,-0.8841784593998016,-0.33756271552963596
299,-0.8841784593998016,-0.347727749235974
300,-0.9091703707152203,-0.33579882516774506
301,-0.9091703707152203,-0.14311454693243614
302,-0.6615339331637542,-0.24825463945177434
303,-0.7265396764838871,-0.2294584137562586
304,-0.45279620635989376,-0.29548063726153206
305,-0.883229153585531,-0.7023761785194078
306,-0.883229153585531,-0.7067287034058606
307,-0.7141290498903369,-0.7162062430961158
308,-0.45660216320321323,-0.7374119085572005
309,-0.5274793775413261,-0.6953510077764705
310,-0.6044540662076477,-0.736620811533291
311,-0.6044540662076477,-0.7354284316518
312,-0.6044540662076477,-0.7428451830348733
313,-0.6044540662076477,-0.7553162239014479
314,0.03741632097746414,-0.7572925987608453
315,0.2712360505914138,-0.6694749989505412
316,-0.1342353089715059,-0.6803097339995549
317,-0.461746372972258,-0.6495004046538391
318,-0.6703417892697642,-0.6537938469387082
319,-0.5664942364631309,-0.6128472753806601
320,-0.3151654635282598,-0.6011023091383805
321,-0.5995532141473752,-0.6054141119811726
322,-0.379560900810419,-0.5914315174963832
323,-0.8340977492574527,-0.6627626574742614
324,-0.8340977492574527,-0.7092396868050549
325,-0.4848758527624953,-0.7052173260160388
326,-0.2234709197621752,-0.6848104916930268
327,-0.4055202243564486,-0.5035266622420851
328,-0.4711947325967109,-0.5142883367574995
329,-0.6847997741170709,-0.6199589380842652
330,-0.6847997741170709,-0.6198353053591122
331,-0.5907386386391767,-0.6178422001662663
332,-0.13813296230233357,-0.6372579173575016
333,0.030895852712319295,-0.4712482980976419
334,-0.3124281764438746,-0.45044719508583153
335,-0.2980735710310891,-0.44552177396182996
336,-0.6769902500299957,-0.47300307238017725
337,-0.6769902500299957,-0.4989717408575253
338,-0.8183987452139699,-0.5324833800950405
339,-0.573323643933924,-0.4978003508671815
340,-0.7445591494228565,-0.5609622752853018
341,-0.6281710983979921,-0.5839614536465751
342,-0.8647796557802803,-0.5834442757532243
343,-0.7223754236782426,-0.5857483524725489
344,-0.901584474796441,-0.5935491139520132
345,-0.9855301490635703,-0.5834183033328068
346,-0.4889405352023415,-0.5752635178671537
347,-0.6847487118123169,-0.5975185524026552
348,0.11848950690334924,-0.5866277037476991
349,0.6530199420796005,-0.5779739046446722
350,0.12607329569745868,-0.5854245144578005
351,0.12607329569745868,-0.515276764001061
352,-0.9367972824503299,-0.473245885872423
353,-0.9981775578267041,-0.4757095961683465
354,-0.9981775578267041,-0.452439576280489
355,-0.9981775578267041,-0.5640297128667685
356,-0.3610324965586421,-0.5498803970816375
357,-0.5743277630736858,-0.5556270359690956
358,-0.5743277630736858,-0.4977961679707672
359,-0.5743277630736858,-0.4822466048619661
360,-0.477138029238012,-0.43991964744561507
361,-0.048385034500014835,-0.4601973395243113
362,-0.5626742933430301,-0.3027567740943614
363,-0.5626742933430301,-0.20085157073858123
364,-0.5626742933430301,-0.1489850567159982
365,-0.724787378573226,-0.17212775360094137
