,TWSE/SHCOMP inst_corr,TWSE/SHCOMP hist_corr
334,0.34734004372482313,0.7868094648204459
335,0.6212761735272467,0.7432279061667502
336,0.5893721466001541,0.7131944959778465
337,0.8612165848951739,0.7245967560967496
338,0.6311498262294085,0.7251954068936508
339,0.3158932858048704,0.7203007658392719
340,0.14392673231806188,0.7264631382525543
341,0.14392673231806188,0.7042940709564196
342,0.8675643728958449,0.6991682398449462
343,0.8782377923279585,0.7027665267928673
344,0.5477008095628989,0.6907002163458221
345,0.5477008095628989,0.6930704985852689
346,0.5477008095628989,0.6920208441599346
347,0.5477008095628989,0.6998192328220314
348,0.5655770027938648,0.6893359517453834
349,0.5655770027938648,0.6266131551998195
350,0.5655770027938648,0.6311908985903569
351,0.5655770027938648,0.38535221619215715
352,0.5431792565111876,0.3644038225541995
353,0.5431792565111876,0.3177864002752618
354,0.5431792565111876,0.3583020378694545
355,0.5431792565111876,0.3564402065914641
356,0.5431792565111876,0.3808656676926268
357,0.5431792565111876,0.4492139078577235
358,0.5431792565111876,0.4565167109227545
359,0.5431792565111876,0.35177224637476817
360,0.8908344194072345,0.3620271910294229
361,0.8908344194072345,0.4285019530103061
362,0.8908344194072345,0.4288366108589246
363,0.8908344194072345,0.500890731136625
364,0.8908344194072345,0.5118709609686708
