,KOSPI/MXBR inst_corr,KOSPI/MXBR hist_corr
342,0.4044436643157706,0.13795312319501027
343,0.7323096009416271,0.14243063928904118
344,0.16045813376352872,0.09919184325950418
345,-0.2892354258858022,0.10770323642104047
346,-0.14856241425429317,0.0668462060186646
347,-0.10309197673840843,0.114319682631402
348,-0.36388745846410725,0.09825662183296818
349,0.026463817507982,0.10027536852479008
350,-0.23701938699186886,0.11897776466471234
351,-0.07071537672999004,0.09167284858885864
352,0.6540768715044352,0.012438791578009414
353,0.74055864620486,0.051562916961010896
354,0.6828253401872479,0.0800243450124163
355,0.1601026687282644,0.08038211516821876
356,0.20805395082558217,0.09947561823825009
357,0.3506573962314089,0.0557119105987562
358,0.4590894127913168,0.06152936929898311
359,0.3354823189333562,0.04508203178353068
360,0.6171883364339533,-0.031627021209837146
361,0.19479585119457682,-0.036087905718638735
362,-0.02441042454249232,-0.03734202446653121
363,0.24787697092414374,0.1215207697942647
364,0.5624449370766651,0.056779069079697035
