,CAC/FNERTR inst_corr,CAC/FNERTR hist_corr
269,0.48875197142022425,0.2602786063699582
270,0.5566637593128129,0.2733770403600135
271,0.3049184525636137,0.3353498600706967
272,0.3997640266202046,0.3371136285153515
273,0.6093750562589063,0.3050177510743003
274,0.8307989740757648,0.359154554630046
275,-0.016695199712828804,0.3166347603292918
276,-0.2575264011471097,0.2589721528670902
277,0.2538605831218598,0.18937305312601507
278,0.58049909601416,0.30023575104450123
279,0.6631293408225265,0.2330514114985943
280,0.35410519924863865,0.3701421291384843
281,0.35655906025544415,0.3523548253771275
282,0.6380609942607174,0.3538399473437664
283,0.037897636958918006,0.3537238327834649
284,-0.3711705039895764,0.3191276791410136
285,-0.2796218081856401,0.3050282550274445
286,-0.14123730877059912,0.3107055504902795
287,-0.4069836458690608,0.19461865043491874
288,-0.50737564454304,0.16097673039645882
289,0.06372193915756588,0.12572576487256254
290,-0.024641576620332627,0.0739923783523055
291,-0.05487719949118156,0.0392286361797577
292,0.3675316607136149,0.04252246053564881
293,0.5032135511096025,0.09900199386854931
294,0.389320142589998,0.06664132280145359
295,0.184481215986053,0.023023113403403257
296,0.17955843712682729,-0.019729449424363353
297,-0.24340200014146435,-0.018725590946462065
298,-0.5954388260246746,-0.10422183577606049
299,-0.5954388260246746,-0.10375502392398994
300,-0.47956259863161055,-0.1911075338934587
301,0.09553307130758734,-0.2174278912720275
302,-0.12061174756892963,-0.2676296627972747
303,-0.19052208694102976,-0.3235674710566829
304,0.17720212019731413,-0.34053872483624137
305,-0.1474150725873891,-0.3652863539619904
306,-0.5482732020335267,-0.35304124523757596
307,0.09256615893305124,-0.31618992500663345
308,0.10929113935952782,-0.34767734711297227
309,0.6426106443744469,-0.20967078986492005
310,0.3460582411534577,-0.2183136752874492
311,-0.25123313340132436,-0.24064273582562523
312,-0.20538572702870944,-0.2592025186320612
313,-0.21729598666612077,-0.25996724402632804
314,-0.14369120294708526,-0.28518303458529864
315,0.174414543508815,-0.342158583916691
316,0.6655912231325762,-0.24869792761621395
317,0.9631919843696645,-0.14212398481516833
318,0.3101372602646101,-0.14225625953057286
319,0.5911185075810926,-0.09549246239622841
320,0.6879862334934352,0.014379291182149876
321,0.3256319993037795,0.04341180126568547
322,-0.24945207823603874,0.05673783132598166
323,-0.42873912469756803,0.03779307977125155
324,0.568186787116425,0.03096509244125865
325,0.5618904884707568,0.3093642724906385
326,0.4057856442429558,0.42934505437606296
327,0.46399055313189513,0.48860870085284813
328,0.267918918763369,0.5013236167882373
329,0.2029444998840878,0.40471760992643624
330,0.5631181886054182,0.3317759270297696
331,0.5631181886054182,0.28816730961564896
332,0.9327275398139525,0.2909521683787498
333,0.6897070958226124,0.4213242638258754
334,0.4855833854217776,0.402542287716262
335,0.3193319572753616,0.40488313103189644
336,0.10284754605192795,0.43322410288163
337,-0.22415671097230688,0.40996374450414597
338,-0.24555469375442732,0.2721629402201267
339,0.16425365147773477,0.33440075233442573
340,0.025342446347694187,0.39127162571719365
341,-0.4947358867150432,0.2414297860714076
342,-0.8835625502221225,0.2703585641110414
343,0.15126138853069393,0.24646566980233822
344,0.40944378638187934,0.2936231663204383
345,0.6252742155923403,0.2966421452553639
346,0.3916244175794661,0.30412090581440093
347,0.5284308358924802,0.2280917629966765
348,0.4713225996016082,0.19040035827283153
349,0.2885255051295972,0.1224521648279934
350,-0.14968317761730132,0.11170730638971213
351,-0.3028211665296664,0.021811067137449753
352,-0.23658143122465342,0.01183758983376943
353,-0.2580558826700708,-0.03669257248171458
354,0.00791870741808565,-0.001595238014300565
355,-0.19262164810215213,-0.17890830420951268
356,0.17204251896458242,-0.15895765446471066
357,0.37175870081554335,-0.12315568909333367
358,0.5438970997081526,-0.13240215478376308
359,0.6411811992408758,-0.07169568730532228
360,0.13569928642059448,-0.03632325746888133
361,0.2982792852510845,-0.010562941922586224
362,0.33241647354723314,-0.03361890875426591
363,0.5064044652771257,0.13303527640961885
364,-0.5326961337327977,0.12462839080227466
