,SENSEX/LF94TRUU inst_corr,SENSEX/LF94TRUU hist_corr
287,-0.488756896391004,-0.18891897667426688
288,0.1415767700096103,-0.16445888170739273
289,0.10621960445454032,-0.13816723936834496
290,-0.5574148511974741,-0.1736984618847024
291,-0.4312142313332065,-0.21991916372799547
292,0.2057526221283395,-0.2635179334063866
293,0.6491420652716746,-0.2772439407751922
294,0.5827543121752173,-0.3370931330116732
295,0.5827543121752173,-0.3032099463794423
296,0.5827543121752173,-0.2923101911285003
297,0.8414347700365369,-0.24785328564112133
298,0.8751074753955886,-0.1820622569741473
299,0.8642457557417083,-0.20234712047488354
300,0.8090663435383509,-0.1921911101123927
301,0.29502714237385985,-0.14387747866298728
302,0.3148114733559455,-0.14849476698625558
303,0.8630667051857265,-0.14142636003443096
304,0.1761948639242793,-0.16403214800070484
305,0.4864621035101358,-0.14443675791603688
306,0.4864621035101358,-0.14521354426095254
307,0.9920339760751148,-0.16861594604960792
308,0.9920339760751148,0.03376023396565894
309,0.9920339760751148,0.06097692304942001
310,0.9463514322282626,0.16278647548685973
311,0.17490868605670512,0.18004570619115
312,-0.23142073059782514,0.2203355552667433
313,-0.0886079940304065,0.32872129819828017
314,-0.0049263616568025245,0.24985165736176673
315,-0.12449671948323263,0.2348194754883408
316,0.02914015917893395,0.21680194338028014
317,0.02914015917893395,0.23905843853233247
318,0.7892392008274657,0.3543184232986578
319,0.2357790764326519,0.28495363880207236
320,0.19035377988604563,0.257688165268047
321,0.15252286376208188,0.19191964556368235
322,0.3107897524880948,0.21588257566878488
323,0.45128016167342505,0.20045182197585726
324,0.5342530313786756,0.18816855330763363
325,0.27107903392701205,0.18548586002636971
326,-0.19444285493900781,0.18538128599025339
327,-0.24010826849533495,-0.027480755076162423
328,0.2731479583623303,-0.04558826777659304
329,0.4962448975867923,0.17187222358818555
330,0.4361245926764796,0.2415710910861454
331,0.38849069915518897,0.23043206769742314
332,-0.5288089616352601,0.2256053267013485
333,-0.3039171820518324,-0.09616427874015905
334,0.418665929811944,0.05708700126181702
335,0.8338247256790574,0.09967407595478445
336,0.17328912997246063,0.1540347748299679
337,0.6726405864701732,0.26521107261524685
338,0.630610562709488,0.2643708517067961
339,0.52837436567864,0.28279829151082647
340,0.46775864605546735,0.2702581435782915
341,-0.0893257544381566,0.28836916353151565
342,-0.33911706915502493,0.1573092998489958
343,-0.3125647824011325,0.11302895932254624
344,0.36706604926700964,0.1279585300062631
345,0.15194632483750956,0.10538852227373398
346,-0.1921175932472412,0.08862544697248413
347,0.0029631177343977747,0.12209089525486472
348,-0.08164298481981079,0.12738319303493795
349,0.01470662215163654,0.16744228640814726
350,0.41640840037946075,0.17831079958891874
351,0.5005785334411746,0.1386087393292414
352,0.696352335130801,0.13672895985426384
353,0.6908052866245786,0.14668728245899973
354,0.5667858699101596,0.17953366238923688
355,0.5071020061742726,0.2716113527698088
356,0.37064213994656564,0.20056394703629335
357,0.5221869846738202,0.2152700780416971
358,-0.04914817853284846,0.21470262598453665
359,-0.2434807340852142,0.11129099842942128
360,0.07051820096188746,0.14784924879373026
361,0.1584694202305139,-0.012000802895770333
362,0.26393036005157283,-0.00025706510301128755
363,0.25738361339003063,-0.03211898111877098
364,0.4075784566984135,0.04216834893032592
