,LG30TRUU/SENSEX inst_corr,LG30TRUU/SENSEX hist_corr
335,0.3730801107643929,0.3825938518258759
336,0.5515552694325008,0.43807844302049703
337,0.5666048545879296,0.4107818020768573
338,0.4515614849777167,0.41582517371591493
339,0.4260180441645159,0.4091048146662844
340,0.0635055386879236,0.42587689316898086
341,-0.19708329151915538,0.30675051357559463
342,0.0567809377999536,0.3145999046944252
343,0.0567809377999536,0.3403456300793629
344,0.7498422897243447,0.3536152597463369
345,0.14137439908958438,0.3353393475784085
346,0.31068698568646924,0.37546988227004047
347,-0.03171074558024315,0.37458263891873356
348,-0.3592413127276739,0.32926147131853395
349,-0.26726752587591013,0.3414912345376404
350,0.5539223662031844,0.30829518198480066
351,0.640071442127601,0.3470771797565009
352,0.9162934951896288,0.34793183996408217
353,0.5421447760192946,0.3712102476428292
354,0.10452875531117851,0.4440284177477396
355,0.3823742969334581,0.3117891632263689
356,0.820620182763028,0.26303555194748834
357,0.31401112335670606,0.2806858152228188
358,0.009344783112756905,0.18317149772788788
359,0.3014038150450512,0.24166754306661115
360,0.8007031680761655,0.18892377057113735
361,0.8007031680761655,0.16394022886963186
362,0.975857218331735,0.17146166591381765
363,0.5309045734623882,0.2609940957385016
364,0.7093315331592212,0.28841279782627044
