,SPXT/SPX inst_corr,SPXT/SPX hist_corr,SPXT/LG30TRUU inst_corr,SPXT/LG30TRUU hist_corr,SPX/LG30TRUU inst_corr,SPX/LG30TRUU hist_corr
254,0.6592829024623608,0.9999042458224694,0.6337974976779817,0.8581866276290208,0.6325348845932045,0.8575364216362801
255,0.6592829024623608,0.9999245576574968,0.6337974976779817,0.8907322406887664,0.6325348845932045,0.8905152786362187
256,0.6592829024623608,0.9999216210179341,0.6337974976779817,0.8762752092329684,0.6325348845932045,0.8756652413253245
257,0.6592829024623608,0.9999266077931229,0.6337974976779817,0.8842433996621364,0.6325348845932045,0.8838386033137057
258,0.6592829024623608,0.9999164350459566,0.6337974976779817,0.834457304700848,0.6325348845932045,0.8343946563471926
259,0.6592829024623608,0.9999021794568426,0.6337974976779817,0.7991430158867587,0.6325348845932045,0.7991304991897757
260,0.6592829024623608,0.9999178671165648,0.6337974976779817,0.7697326190354367,0.6325348845932045,0.7685032864596673
261,0.6592829024623608,0.9999019933152662,0.6337974976779817,0.6570892540652172,0.6325348845932045,0.6562717548385696
262,0.6592829024623608,0.9998980565764851,0.6337974976779817,0.6982297494458128,0.6325348845932045,0.6969814226916297
263,0.6592829024623608,0.9999074749671616,0.6337974976779817,0.7466993485346939,0.6325348845932045,0.7460289592066874
264,0.6592829024623608,0.9998979683571603,0.6337974976779817,0.7357408670438157,0.6325348845932045,0.7352386631732813
265,0.6592829024623608,0.9999037472955028,0.6337974976779817,0.7386665731201589,0.6325348845932045,0.7379255266919426
266,0.6592829024623608,0.9999118738490649,0.6337974976779817,0.7577823578766795,0.6325348845932045,0.7569952446548184
267,0.6592829024623608,0.9999221390240073,0.6337974976779817,0.7818173056098352,0.6325348845932045,0.7814748396842959
268,0.6592829024623608,0.999919433843718,0.6337974976779817,0.7849944527799595,0.6325348845932045,0.7848369484529009
269,0.6592829024623608,0.9999175442024345,0.6337974976779817,0.7795428931972568,0.6325348845932045,0.7792870412759123
270,0.6592829024623608,0.9999453067042016,0.6337974976779817,0.7818456250655832,0.6325348845932045,0.7823385465731122
271,0.6592829024623608,0.9999442289675786,0.6337974976779817,0.7858342577473594,0.6325348845932045,0.7865277690453171
272,0.6592829024623608,0.9999416119540333,0.6337974976779817,0.8120818764491415,0.6325348845932045,0.8132329075466659
273,0.6592829024623608,0.9999404281932868,0.6337974976779817,0.8168492249196754,0.6325348845932045,0.8180752625062708
274,0.6592829024623608,0.9999406876971101,0.6337974976779817,0.8178747555681712,0.6325348845932045,0.8187620506671437
275,0.6592829024623608,0.9999422720910073,0.6337974976779817,0.8149136720059694,0.6325348845932045,0.8160078497037301
276,0.6592829024623608,0.9999405184289223,0.6337974976779817,0.8277677576042012,0.6325348845932045,0.8286476608326303
277,0.6592829024623608,0.9999207871541915,0.6337974976779817,0.7690778727854143,0.6325348845932045,0.7704052697022274
278,0.6592829024623608,0.9999319063687674,0.6337974976779817,0.7992626796858094,0.6325348845932045,0.8009466404182903
279,0.6592829024623608,0.9999209904380787,0.6337974976779817,0.7774211684098897,0.6325348845932045,0.7789877618238193
280,0.6592829024623608,0.9999194978656465,0.6337974976779817,0.8289758988654728,0.6325348845932045,0.83009138298946
281,0.6592829024623608,0.9999194966358129,0.6337974976779817,0.8332833278877723,0.6325348845932045,0.8344972501575735
282,0.6592829024623608,0.9999203565073634,0.6337974976779817,0.8303555758407684,0.6325348845932045,0.8319128863928883
283,0.6592829024623608,0.9999122312536094,0.6337974976779817,0.8801244268767144,0.6325348845932045,0.8816411989984294
284,0.6592829024623608,0.9999237689926428,0.6337974976779817,0.8634832687893245,0.6325348845932045,0.8651692318533453
285,0.6592829024623608,0.9999148807883885,0.6337974976779817,0.8492072217340829,0.6325348845932045,0.8508533036971722
286,0.6592829024623608,0.9999568926771992,0.6337974976779817,0.8500964796248627,0.6325348845932045,0.8507260142770564
287,0.6592829024623608,0.999903691783653,0.6337974976779817,0.8506934901079777,0.6325348845932045,0.8515247924256796
288,0.6592829024623608,0.9998473818718824,0.6337974976779817,0.8379354795345577,0.6325348845932045,0.8386830123647933
289,0.6592829024623608,0.9998316696927841,0.6337974976779817,0.8280333827872494,0.6325348845932045,0.8301945242885084
290,0.6592829024623608,0.9998458192224976,0.6337974976779817,0.8374201082005506,0.6325348845932045,0.8393145506157063
291,0.6592829024623608,0.9998604655720362,0.6337974976779817,0.8768223924641283,0.6325348845932045,0.8787141103797904
292,0.6592829024623608,0.9998158524996575,0.6337974976779817,0.8884842995188468,0.6325348845932045,0.8894254843915148
293,0.6592829024623608,0.9998243068444922,0.6337974976779817,0.8901330019356415,0.6325348845932045,0.8908929007748476
294,0.6592829024623608,0.9998160202984719,0.6337974976779817,0.8891120565113274,0.6325348845932045,0.890012920520696
295,0.6592829024623608,0.9998149979784571,0.6337974976779817,0.8849746145380026,0.6325348845932045,0.8857461043533231
296,0.6592829024623608,0.9998186051991975,0.6337974976779817,0.8880626718728201,0.6325348845932045,0.8891620795420511
297,0.6592829024623608,0.9998151761743586,0.6337974976779817,0.8903598556551234,0.6325348845932045,0.8911918214655408
298,0.6592829024623608,0.9997990598827885,0.6337974976779817,0.876238833854305,0.6325348845932045,0.8767914432614502
299,0.6592829024623608,0.9998201601317165,0.6337974976779817,0.9006925983521509,0.6325348845932045,0.9004857871519463
300,0.6592829024623608,0.9998001286072606,0.6337974976779817,0.8875992430210772,0.6325348845932045,0.8874796737906332
301,0.6592829024623608,0.999783417429862,0.6337974976779817,0.8936404260851853,0.6325348845932045,0.8933505929757666
302,0.6592829024623608,0.9997962381162151,0.6337974976779817,0.9068973877584187,0.6325348845932045,0.9059826966012307
303,0.6592829024623608,0.9998078228523022,0.6337974976779817,0.9063655781198388,0.6325348845932045,0.9048509734549457
