,M1EF/FTMIGMI inst_corr,M1EF/FTMIGMI hist_corr,GBIEMDCW/GBIEMDCW inst_corr,GBIEMDCW/GBIEMDCW hist_corr
207,0.9606435679144889,0.9999999999999998,0.9357504502685716,1.0
208,0.9606435679144889,1.0,0.9357504502685716,1.0
209,0.9606435679144889,1.0,0.9357504502685716,1.0
210,0.9606435679144889,1.0,0.9357504502685716,1.0
211,0.9606435679144889,1.0,0.9357504502685716,1.0
212,0.9606435679144889,1.0,0.9357504502685716,0.9999999999999999
213,0.9606435679144889,0.9999999999999999,0.9357504502685716,1.0
214,0.9606435679144889,1.0,0.9357504502685716,0.9999999999999999
215,0.9606435679144889,0.9999999999999998,0.9357504502685716,1.0
216,0.9606435679144889,1.0,0.9357504502685716,1.0
217,0.9606435679144889,1.0,0.9357504502685716,1.0
218,0.9606435679144889,1.0,0.9357504502685716,1.0
219,0.9606435679144889,1.0,0.949019874951176,1.0
220,0.9606435679144889,1.0,0.7622029715061104,1.0
221,0.9606435679144889,1.0,0.9710152531719511,1.0
222,0.9606435679144889,1.0,0.9710152531719511,1.0
223,0.9606435679144889,1.0,0.8825199716427632,1.0
224,0.9606435679144889,1.0,0.8825199716427632,1.0
225,0.9606435679144889,0.9999999999999998,0.8825199716427632,1.0
226,0.9606435679144889,1.0,0.9011979260815174,1.0
227,0.9606435679144889,1.0,0.8427853507871131,1.0
228,0.9606435679144889,1.0,0.8427853507871131,1.0
229,0.9606435679144889,1.0,0.8592344343342009,1.0
230,0.9606435679144889,0.9999999999999999,0.8592344343342009,1.0
231,0.9606435679144889,1.0,0.8592344343342009,1.0
232,0.9606435679144889,1.0,0.8592344343342009,1.0
233,0.9606435679144889,1.0,0.8592344343342009,0.9999999999999999
234,0.9606435679144889,1.0,0.8592344343342009,0.9999999999999999
235,0.9606435679144889,1.0,0.8509704323343426,1.0
236,0.9606435679144889,1.0,0.9404394091542743,1.0
237,0.9606435679144889,1.0,0.9404394091542743,0.9999999999999999
238,0.9606435679144889,1.0,0.9404394091542743,0.9999999999999999
239,0.9606435679144889,1.0,0.9404394091542743,1.0
240,0.9606435679144889,1.0,0.9404394091542743,1.0
241,0.9606435679144889,1.0,0.9404394091542743,1.0
242,0.9606435679144889,1.0,0.9404394091542743,1.0
243,0.9606435679144889,1.0,0.9404394091542743,1.0
244,0.9606435679144889,0.9999999999999999,0.9404394091542743,1.0
245,0.9606435679144889,1.0,0.9404394091542743,0.9999999999999999
246,0.9606435679144889,1.0,0.9404394091542743,1.0
247,0.9135903242232912,1.0,0.9404394091542743,1.0
248,0.9173657782359128,1.0,0.9404394091542743,1.0
249,0.9173657782359128,1.0,0.9404394091542743,1.0
250,0.9173657782359128,1.0,0.9404394091542743,1.0
251,0.9173657782359128,1.0,0.9404394091542743,1.0
252,0.9173657782359128,1.0,0.9404394091542743,1.0
253,0.9173657782359128,0.9999999999999998,0.9404394091542743,1.0
254,0.9173657782359128,1.0,0.9404394091542743,0.9999999999999999
255,0.9173657782359128,1.0,0.919133806683419,0.9999999999999999
256,0.9173657782359128,1.0,0.919133806683419,1.0
257,0.9173657782359128,1.0,0.919133806683419,1.0
258,0.9173657782359128,0.9999999999999998,0.919133806683419,1.0
