,JPEIGLBL/KOSPI inst_corr,JPEIGLBL/KOSPI hist_corr
340,0.41633066171481026,0.42711297664660564
341,0.6736979993664208,0.3990018368102023
342,0.29020427277037425,0.38687812048462955
343,-0.018941842923270807,0.3791804910208378
344,0.3593434480202575,0.38973555409835
345,0.556744471109783,0.3125255926182854
346,0.738938123660942,0.2660275336956927
347,0.359406822788075,0.1855219339500861
348,0.5415973798398389,0.2644223471056282
349,0.6874976278958289,0.2596668110520327
350,0.6395806771096377,0.2700758409778844
351,-0.061342114758354674,0.2331429139378108
352,-0.16010109214497717,0.20059148026494203
353,0.6092509951727586,0.16620469393357568
354,0.9564114373069468,0.23982878262347984
355,0.7868343721920662,0.15050447286878924
356,0.3612316905399636,0.15501718783545096
357,0.7574883953322228,0.16313650113526124
358,0.7346354325865869,0.11834765457172564
359,0.708736104886798,0.1430714269984702
360,0.6695462950104635,0.15192923491450624
361,0.17690630420056672,0.1501649640914539
362,-0.18079776161754707,0.11216437896932402
363,-0.1102231565042466,0.079881125914152
364,0.42191293679795006,0.1331086049540193
