,JPEIGLBL/TWSE inst_corr,JPEIGLBL/TWSE hist_corr
305,0.07459484632872176,0.48943436921566846
306,0.5204506089338283,0.4880572883127838
307,0.6213804430667026,0.521555918378758
308,0.4054983034421513,0.5592229003963808
309,-0.291003575257928,0.527190583211164
310,-0.23433562574407046,0.44148431298736757
311,0.3811989004858221,0.43323171574779634
312,0.8142638843525906,0.4789654360859244
313,0.7010650678733665,0.4643374039660726
314,0.45476329461422654,0.44529962988764527
315,0.2121010527378293,0.15211122574219627
316,0.5849251906003754,0.11526548387531939
317,0.5849251906003754,0.13234751572726827
318,0.5849251906003754,0.1838523767945593
319,0.4228930102548854,0.19850470569199824
320,0.1121876282049137,0.15771532390655651
321,0.6344821905363397,0.1930187181278479
322,0.6344821905363397,0.19593860205194946
323,0.4797842949621586,0.19399154301297775
324,0.4797842949621586,0.21266741929096555
325,0.4797842949621586,0.216258114383153
326,0.4797842949621586,0.2064010473754803
327,0.4797842949621586,0.31435805633403735
328,0.80148913169581,0.33366920796774363
329,0.4384492063758467,0.44983034893198953
330,0.3943255482823304,0.5069594294006188
331,0.2387549644801073,0.5098863730393027
332,0.5725930174684667,0.3724235426932145
333,0.8969242847258355,0.40131392228954377
334,0.4524463455462166,0.3840613537290652
335,0.38099727316658016,0.41164019863541557
336,0.6103602082347371,0.42124859115831037
337,0.35530847283203765,0.42645145094561754
338,0.7073390551688291,0.39422146870153485
339,0.2450531445821039,0.3821805968364009
340,0.48973296179452047,0.3824731952604345
341,0.5172063916618772,0.37125732493524544
342,0.303144576650058,0.3659878408337874
343,-0.13172477951215966,0.32720853586574944
344,-0.281539042670256,0.2940993819295488
345,0.3531498658203399,0.2735710250585936
346,0.030788245003588132,0.2108532881260726
347,0.07607729180362542,0.2323213683331413
348,0.07607729180362542,0.2648691160814458
349,0.07607729180362542,0.26812296016586723
350,0.8842437052634158,0.2646998831567213
351,0.7296920440466237,0.2925771588027171
352,0.6786657356998713,0.21913480729816634
353,0.469002140584606,0.22762609170354872
354,0.6082143113504485,0.21960911922701154
355,0.6082143113504485,0.05752159750901573
356,0.6736681667691454,0.10180640529128691
357,0.5580842967547948,0.04436866262739861
358,0.5939570869215285,0.03676118132011931
359,0.7872824387785979,0.1257634527302279
360,0.947838611149048,0.11803005845380374
361,0.272543078866246,0.12064433238765686
362,-0.06679622819986902,0.08314074590720626
363,0.5927399707651416,0.07610199680646036
364,0.8825732058599371,0.23588232719406607
