,NKY/TWSE inst_corr,NKY/TWSE hist_corr
323,0.7206896514937081,0.26678780764391985
324,0.7206896514937081,0.2957395340961841
325,0.7206896514937081,0.3209230517393353
326,0.7206896514937081,0.3420412631301044
327,0.9536636539783038,0.3884811434223369
328,0.9403425404323924,0.43129634088699215
329,0.6133472312809326,0.44328004322477826
330,0.7922417540654668,0.7741708172396042
331,0.8754173123408263,0.7471925242198835
332,0.8754173123408263,0.745997538790271
333,0.915465665238975,0.7613793320620756
334,0.915465665238975,0.7557265076288757
335,0.7062506267310016,0.7480316114092951
336,0.7062506267310016,0.7479539795778446
337,0.9339796733595689,0.73748407193129
338,0.9461181001214604,0.7897068340133764
339,0.7166446682133671,0.7811934195879227
340,0.8921504547510124,0.7778830866458083
341,0.8921504547510124,0.7677427937756468
342,0.8921504547510124,0.7656394557176734
343,0.985934924088502,0.7563723200129611
344,0.8010679527439917,0.8091903826748097
345,0.558248655280731,0.8079586979792632
346,0.558248655280731,0.7872240880411686
347,0.785585420058429,0.7836412487215716
348,0.3578845392575447,0.7633757115794246
349,0.46616201978408867,0.7591972923209622
350,0.46616201978408867,0.7547945496911996
351,0.46616201978408867,0.7609913280868252
352,0.46616201978408867,0.717670754555723
353,0.46616201978408867,0.7598468097339596
354,0.46616201978408867,0.7446220983609214
355,0.46616201978408867,0.7320357497166445
356,0.46616201978408867,0.7463940598114701
357,0.46616201978408867,0.7483320907044188
358,0.46616201978408867,0.752444029738376
359,0.46616201978408867,0.7502393180406173
360,0.46616201978408867,0.6964293580433311
361,0.46616201978408867,0.7050252719302145
362,0.46616201978408867,0.5577570326349847
363,0.46616201978408867,0.5661136446163189
364,0.46616201978408867,0.5704522520314056
