,FNERTR/LBEATREU inst_corr,FNERTR/LBEATREU hist_corr,LGER/NKYNTR inst_corr,LGER/NKYNTR hist_corr
226,-0.02778703332624958,-0.2558715483732682,0.8677777891518089,0.0305738349888854
227,-0.3253632891589245,-0.24536880690423898,0.8677777891518089,0.022666919689918342
228,-0.3819634015278569,-0.21976223098219827,0.8677777891518089,-0.0027353590798616673
229,-0.5042042422280987,-0.21642385245293969,0.8677777891518089,-0.11140729343842971
230,-0.9290007513004669,-0.1346776129751411,0.8677777891518089,-0.040071444359057636
231,-0.17643785753389885,-0.18148402929703056,0.8700199916143959,-0.06416753681707985
232,0.22736771993036556,-0.21546862484925486,0.8700199916143959,-0.06488386933862055
233,0.321561891019586,-0.23387885924231372,0.8700199916143959,-0.06779369335515034
234,0.29723833309163883,-0.10926517981233587,0.8842242059810473,0.256766257391588
235,0.6224786020740615,-0.0201780093081689,0.7772731967285883,0.36390838656387936
236,0.6912402541850383,0.0890983824077543,0.7772731967285883,0.35478572730089103
237,0.2641174880759419,0.10047326267812089,0.7923461219947298,0.35076066116331356
238,0.6380914217544978,0.17942601755973706,0.25047619414800326,0.441189405215144
239,0.24047541650525936,0.1722130064423337,-0.28682916684589105,0.2229866585683941
240,-0.4214845945536756,0.1803556500889298,-0.31997613907662126,0.07395157710813224
241,-0.8123594332462996,0.17605347694870632,0.2920396855639776,0.023809932805836855
242,-0.8800454582599097,0.21107932703909776,0.6911451102093231,0.06360362176530832
243,-0.10579717046040309,0.2179622805125245,0.6911451102093231,0.09539960075452071
244,-0.10579717046040309,0.21865162327798707,0.6911451102093231,0.1133629336262175
245,-0.7483038538010042,0.13835431864009756,0.6911451102093231,0.10741680278543335
246,-0.32170736077681483,0.17046557646317412,0.6911451102093231,0.13062427598646514
