,LEGATRUU/NKY inst_corr,LEGATRUU/NKY hist_corr
338,-0.778909019123324,-0.31906079717127034
339,-0.7458346244957819,-0.3635395014548446
340,-0.35832251451423264,-0.41587509041203824
341,0.18841798787652117,-0.39273848889014706
342,-0.0615191687934649,-0.3294834329658959
343,-0.0615191687934649,-0.3552913431364167
344,-0.5210790921938893,-0.4113101872970715
345,-0.6203856972134099,-0.42556859485713866
346,-0.7497620065616647,-0.4118346991274269
347,-0.7698354168871402,-0.4648249243706505
348,-0.7673725060234152,-0.5215585838408912
349,-0.455211440447771,-0.5446556203671619
350,-0.5613838196724542,-0.5549895043385145
351,-0.592700355212688,-0.5888760023602478
352,-0.31789217953275145,-0.5951167062300731
353,-0.5018101681865919,-0.47946197803531904
354,-0.4549494295530372,-0.512432340295095
355,-0.09104803503303177,-0.48319154186429963
356,-0.3965642229921948,-0.506005203657491
357,-0.4353443283894646,-0.46896559462681126
358,0.08925737979722977,-0.4669642799941155
359,0.41980640850087475,-0.43675824268883795
360,0.09506902046866857,-0.4273515696789886
361,-0.37371710351897114,-0.380121080167789
362,-0.6393813062191077,-0.3911107366158815
363,-0.5558206174625167,-0.5232905573699782
364,-0.5610740203989132,-0.5265004613058407
